round,condition,gini,tier,trial
1,control,0.11956521739130435,4,0
1,real,0.25,4,0
1,reverse,0.25,4,0
1,mid,0.20833333333333334,4,0
2,control,0.22826086956521738,4,0
2,real,0.37,4,0
2,reverse,0.27631578947368424,4,0
2,mid,0.16666666666666666,4,0
3,control,0.33695652173913043,4,0
3,real,0.46153846153846156,4,0
3,reverse,0.325,4,0
3,mid,0.16666666666666666,4,0
4,control,0.20238095238095238,4,0
4,real,0.4583333333333333,4,0
4,reverse,0.3888888888888889,4,0
4,mid,0.2261904761904762,4,0
5,control,0.27380952380952384,4,0
5,real,0.4583333333333333,4,0
5,reverse,0.2261904761904762,4,0
5,mid,0.20238095238095238,4,0
1,control,0.19827586206896552,4,1
1,real,0.25,4,1
1,reverse,0.11,4,1
1,mid,0.21875,4,1
2,control,0.18333333333333332,4,1
2,real,0.1574074074074074,4,1
2,reverse,0.14130434782608695,4,1
2,mid,0.056451612903225805,4,1
3,control,0.28448275862068967,4,1
3,real,0.21428571428571427,4,1
3,reverse,0.18478260869565216,4,1
3,mid,0.08870967741935484,4,1
4,control,0.25,4,1
4,real,0.21428571428571427,4,1
4,reverse,0.19,4,1
4,mid,0.1590909090909091,4,1
5,control,0.11666666666666667,4,1
5,real,0.19827586206896552,4,1
5,reverse,0.17307692307692307,4,1
5,mid,0.140625,4,1
1,control,0.4051724137931034,4,2
1,real,0.39814814814814814,4,2
1,reverse,0.20454545454545456,4,2
1,mid,0.28703703703703703,4,2
2,control,0.4,4,2
2,real,0.29347826086956524,4,2
2,reverse,0.15,4,2
2,mid,0.2692307692307692,4,2
3,control,0.3467741935483871,4,2
3,real,0.07142857142857142,4,2
3,reverse,0.27,4,2
3,mid,0.14285714285714285,4,2
4,control,0.3706896551724138,4,2
4,real,0.16071428571428573,4,2
4,reverse,0.23,4,2
4,mid,0.22826086956521738,4,2
5,control,0.4107142857142857,4,2
5,real,0.15,4,2
5,reverse,0.18181818181818182,4,2
5,mid,0.21296296296296297,4,2
1,control,0.36363636363636365,4,3
1,real,0.30857142857142855,4,3
1,reverse,0.17647058823529413,4,3
1,mid,0.33548387096774196,4,3
2,control,0.3515151515151515,4,3
2,real,0.32,4,3
2,reverse,0.15294117647058825,4,3
2,mid,0.36,4,3
3,control,0.35,4,3
3,real,0.3314285714285714,4,3
3,reverse,0.1696969696969697,4,3
3,mid,0.38571428571428573,4,3
4,control,0.3393939393939394,4,3
4,real,0.3411764705882353,4,3
4,reverse,0.1696969696969697,4,3
4,mid,0.3875,4,3
5,control,0.34838709677419355,4,3
5,real,0.29411764705882354,4,3
5,reverse,0.17647058823529413,4,3
5,mid,0.3586206896551724,4,3
1,control,0.16666666666666666,6,3
1,real,0.3333333333333333,6,3
1,reverse,0.2962962962962963,6,3
1,mid,0.32407407407407407,6,3
2,control,0.35185185185185186,6,3
2,real,0.42592592592592593,6,3
2,reverse,0.3333333333333333,6,3
2,mid,0.3055555555555556,6,3
3,control,0.39814814814814814,6,3
3,real,0.5185185185185185,6,3
3,reverse,0.3611111111111111,6,3
3,mid,0.3055555555555556,6,3
4,control,0.3333333333333333,6,3
4,real,0.4722222222222222,6,3
4,reverse,0.37962962962962965,6,3
4,mid,0.3888888888888889,6,3
5,control,0.3611111111111111,6,3
5,real,0.4722222222222222,6,3
5,reverse,0.3055555555555556,6,3
5,mid,0.37962962962962965,6,3
1,control,0.25925925925925924,6,3
1,real,0.3425925925925926,6,3
1,reverse,0.12962962962962962,6,3
1,mid,0.3611111111111111,6,3
2,control,0.2777777777777778,6,3
2,real,0.17592592592592593,6,3
2,reverse,0.1388888888888889,6,3
2,mid,0.24074074074074073,6,3
3,control,0.3333333333333333,6,3
3,real,0.25,6,3
3,reverse,0.17592592592592593,6,3
3,mid,0.25925925925925924,6,3
4,control,0.3333333333333333,6,3
4,real,0.24074074074074073,6,3
4,reverse,0.17592592592592593,6,3
4,mid,0.35185185185185186,6,3
5,control,0.24074074074074073,6,3
5,real,0.25925925925925924,6,3
5,reverse,0.1574074074074074,6,3
5,mid,0.3055555555555556,6,3
1,control,0.4351851851851852,6,3
1,real,0.37962962962962965,6,3
1,reverse,0.2037037037037037,6,3
1,mid,0.3148148148148148,6,3
2,control,0.4444444444444444,6,3
2,real,0.24074074074074073,6,3
2,reverse,0.1574074074074074,6,3
2,mid,0.2962962962962963,6,3
3,control,0.4074074074074074,6,3
3,real,0.16666666666666666,6,3
3,reverse,0.25,6,3
3,mid,0.21296296296296297,6,3
4,control,0.39814814814814814,6,3
4,real,0.23148148148148148,6,3
4,reverse,0.21296296296296297,6,3
4,mid,0.3055555555555556,6,3
5,control,0.42592592592592593,6,3
5,real,0.1574074074074074,6,3
5,reverse,0.12962962962962962,6,3
5,mid,0.26851851851851855,6,3
1,control,0.37037037037037035,6,3
1,real,0.3888888888888889,6,3
1,reverse,0.25,6,3
1,mid,0.3148148148148148,6,3
2,control,0.3611111111111111,6,3
2,real,0.39814814814814814,6,3
2,reverse,0.23148148148148148,6,3
2,mid,0.3333333333333333,6,3
3,control,0.3425925925925926,6,3
3,real,0.4074074074074074,6,3
3,reverse,0.21296296296296297,6,3
3,mid,0.3425925925925926,6,3
4,control,0.35185185185185186,6,3
4,real,0.37962962962962965,6,3
4,reverse,0.21296296296296297,6,3
4,mid,0.37962962962962965,6,3
5,control,0.3333333333333333,6,3
5,real,0.3425925925925926,6,3
5,reverse,0.25,6,3
5,mid,0.32407407407407407,6,3
