distinct_count,condition
61,control
58,control
61,control
56,control
52,control
55,control
63,control
53,control
63,control
52,control
61,control
61,control
53,control
68,control
53,control
61,control
57,control
57,control
61,control
54,control
64,real
57,real
51,real
59,real
54,real
55,real
67,real
48,real
68,real
55,real
56,real
58,real
56,real
63,real
57,real
57,real
64,real
58,real
70,real
67,real
62,mid
64,mid
61,mid
63,mid
58,mid
58,mid
65,mid
65,mid
69,mid
61,mid
57,mid
66,mid
67,mid
68,mid
62,mid
64,mid
69,mid
66,mid
72,mid
71,mid
52,reverse
54,reverse
58,reverse
64,reverse
55,reverse
59,reverse
55,reverse
53,reverse
64,reverse
50,reverse
42,reverse
49,reverse
45,reverse
66,reverse
53,reverse
46,reverse
55,reverse
56,reverse
61,reverse
51,reverse
